round,match_id,slot,side_of_bracket,team_source_type,team_source_group,team_source_position,best_third_condition,opponent_match_id,winner_to_match_id,loser_to_match_id,source,confidence,needs_review,notes
R32,UNKNOWN,B2,UNKNOWN,runner_up,B,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,C2,UNKNOWN,runner_up,C,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,D2,UNKNOWN,runner_up,D,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,E2,UNKNOWN,runner_up,E,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,F2,UNKNOWN,runner_up,F,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,G2,UNKNOWN,runner_up,G,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,H2,UNKNOWN,runner_up,H,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,I2,UNKNOWN,runner_up,I,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,J2,UNKNOWN,runner_up,J,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,K2,UNKNOWN,runner_up,K,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,L2,UNKNOWN,runner_up,L,2,,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Base_qualification+RULES_AND_SCORING.md,high_source_low_bracket,true,Source position confirmed; R32 match pairing and bracket side require official draw lookup
R32,UNKNOWN,BT1,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT2,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT3,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT4,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT5,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT6,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT7,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
R32,UNKNOWN,BT8,UNKNOWN,best_third,CONDITIONAL,3,top-8 of 12 thirds by pts->GD->GS->GA->disciplinary,UNKNOWN,R16_UNKNOWN,ELIMINATED,workbook:Best_3rds_calculation,low,true,Best-third slot requires official FIFA best-third lookup table (C(12,8)=495 combinations); specific group UNKNOWN until results
